game_id,black_id,white_id,black_username,white_username,black_country,white_country,black_ratings,white_ratings,black_ranking,white_ranking,black_professional,white_professional,black_ui_class,white_ui_class,board
745,408,514,Rukis,stevenshi,,cn,"{'version': 5, 'overall': {'rating': 1500, 'deviation': 350, 'volatility': 0.06}}","{'version': 5, 'overall': {'rating': 1500.0, 'deviation': 350.0, 'volatility': 0.06}}",24.303382182144386,24.303382182144386,False,False,provisional,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-03-30]
PC[OGS: https://online-go.com/game/745]
GN[]
PB[Rukis]
PW[stevenshi]
BR[3k]
WR[5d]
TM[0]OT[604800 simple]
RE[B+T]
SZ[19]
KM[6.5]
RU[Japanese]
;B[qd]
)"
863,487,514,zhenyan.jian,stevenshi,tw,cn,"{'version': 5, 'overall': {'rating': 1541.4838417619958, 'deviation': 237.7509764830458, 'volatility': 0.05999891640544906}}","{'version': 5, 'overall': {'rating': 1500.0, 'deviation': 350.0, 'volatility': 0.06}}",24.93492293350448,24.303382182144386,False,False,provisional,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-03-30]
PC[OGS: https://online-go.com/game/863]
GN[]
PB[zhenyan.jian]
PW[stevenshi]
BR[5d]
WR[5d]
TM[86400]OT[1/86400 canadian]
RE[Void]
SZ[19]
KM[6.5]
RU[Japanese]
;B[pd]
)"
