game_id,black_id,white_id,black_username,white_username,black_country,white_country,black_ratings,white_ratings,black_ranking,white_ranking,black_professional,white_professional,black_ui_class,white_ui_class,board
355007,1336,36639,Uzziel,sinepecunia,un,nl,"{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}","{'version': 5, 'overall': {'rating': 1347.2049537910643, 'deviation': 66.18590658814324, 'volatility': 0.06002088552509953}}",21.451613725129207,21.816306692494457,False,False,,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2012-10-18]
PC[OGS: https://online-go.com/game/355007]
GN[Let's play go!]
PB[Uzziel]
PW[sinepecunia]
BR[30k]
WR[29k]
TM[259200]OT[86400 fischer]
RE[B+R]
SZ[9]
KM[6.5]
RU[Japanese]
;B[fd]
(;W[df]
(;B[cc]
(;W[gf]
(;B[ge]
(;W[bd]
(;B[de]
(;W[ce]
(;B[cd]
(;W[dd]
(;B[ee]
(;W[dc]
(;B[cb]
(;W[db]
(;B[bc]
C[Uberdude: Should be b5, then after white c4 you can play here to capture b6.
]
(;W[be]
(;B[eb]
(;W[ca]
(;B[ac]
C[Uberdude: Should be b9.
]
(;W[ad]
C[Uberdude: White b8 instead would capture you.
]
(;B[ba]
C[Uberdude: Black is lucky to get away with it.
]
(;W[da]
(;B[ab]
(;W[ec]
(;B[fc]
(;W[fb]
(;B[ed]
C[Uberdude: g8 better to stop white going into that corner, as even if white capture at e9 he only has 1 eye so is dead.
]
(;W[ff]
(;B[ea]
C[Uberdude: You don't need to play here as white e9 then black g8 and white is dead. But more complex is white g8, then black e9 and white tries to live in the corner. Pushing through the gap at e4 instead is better.
]
(;W[he]
(;B[hd]
(;W[fe]
(;B[gd]
(;W[ef]
(;B[id]
C[Uberdude: h4 captures a stone
]
(;W[hf]
(;B[gb]
C[Uberdude: Not necessary, -1 point. You can try c4 but ti doesn't work if white answers correctly. Or just j5 endgame.
]
(;W[ie]
(;B[cf]
(;W[cg]
C[Uberdude: Big mistake, white should b4.
]
(;B[bf]
(;W[bg]
(;B[af]
C[Uberdude: a5 is better as then white a3 is not sente, though here as there is nowhere else to play it doesn't actually make a difference.
]
(;W[ag]
(;B[ae]
)))))))))))))))))))))))))))))))))))))))))))))"
11699,1336,45943,Uzziel,karmap,un,un,"{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}","{'version': 5, 'overall': {'rating': 914.1865256331218, 'deviation': 269.2534180156722, 'volatility': 0.06000824405100666}}",21.451613725129207,12.839831831851555,False,False,,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-10-19]
PC[OGS: https://online-go.com/game/11699]
GN[Let's play go!]
PB[Uzziel]
PW[karmap]
BR[30k]
WR[36k]
TM[259200]OT[86400 fischer]
RE[B+T]
SZ[9]
KM[6.5]
RU[Japanese]
;B[df]
(;W[cg]
(;B[dg]
(;W[cf]
(;B[dd]
(;W[dh]
(;B[eh]
(;W[ci]
(;B[ee]
(;W[ei]
(;B[fi]
(;W[di]
(;B[fh]
(;W[gc]
(;B[bh]
(;W[ch]
(;B[bf]
(;W[af]
(;B[bg]
(;W[gg]
(;B[eg]
(;W[dc]
(;B[cd]
(;W[cc]
(;B[bd]
)))))))))))))))))))))))))"
318481,43381,1336,t0mmie,Uzziel,un,un,"{'version': 5, 'overall': {'rating': 1717.6346496721767, 'deviation': 231.4875784936726, 'volatility': 0.05999839733505776}}","{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}",27.43981438632125,21.451613725129207,False,False,provisional,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2012-03-16]
PC[OGS: https://online-go.com/game/318481]
GN[Let's play go!]
PB[t0mmie]
PW[Uzziel]
BR[37k]
WR[30k]
TM[259200]OT[86400 fischer]
RE[B+R]
SZ[19]
KM[6.5]
RU[Japanese]
;B[pp]
(;W[dd]
(;B[dp]
(;W[pd]
(;B[pf]
(;W[on]
(;B[oo]
(;W[en]
(;B[eo]
(;W[jp]
(;B[jo]
(;W[kn]
(;B[ko]
(;W[ge]
(;B[od]
(;W[pe]
(;B[oe]
(;W[qf]
(;B[ph]
(;W[pg]
(;B[of]
(;W[og]
(;B[mf]
(;W[kp]
(;B[lp]
(;W[lo]
(;B[mo]
(;W[ln]
(;B[nm]
(;W[nn]
(;B[mn]
(;W[jn]
(;B[io]
(;W[ho]
(;B[hp]
(;W[ip]
(;B[in]
(;W[im]
(;B[hn]
(;W[go]
(;B[fn]
(;W[gm]
(;B[gn]
(;W[fo]
(;B[fp]
(;W[do]
(;B[gp]
(;W[go]
(;B[dn]
(;W[em]
(;B[co]
(;W[fm]
(;B[cj]
(;W[hm]
(;B[mq]
(;W[np]
(;B[pn]
(;W[mm]
(;B[om]
(;W[no]
(;B[mp]
(;W[lq]
(;B[kq]
(;W[lr]
(;B[kr]
(;W[mr]
(;B[nq]
(;W[oq]
(;B[op]
(;W[nn]
(;B[lm]
(;W[ml]
(;B[jm]
(;W[km]
(;B[kl]
)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
350683,1336,45943,Uzziel,karmap,un,un,"{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}","{'version': 5, 'overall': {'rating': 914.1865256331218, 'deviation': 269.2534180156722, 'volatility': 0.06000824405100666}}",21.451613725129207,12.839831831851555,False,False,,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2012-09-24]
PC[OGS: https://online-go.com/game/350683]
GN[Let's play go!]
PB[Uzziel]
PW[karmap]
BR[30k]
WR[36k]
TM[604800]OT[172800 fischer]
RE[B+T]
SZ[13]
KM[6.5]
RU[Japanese]
;B[ck]
(;W[cd]
(;B[kk]
(;W[kc]
(;B[kg]
(;W[cg]
(;B[gj]
(;W[gd]
(;B[jd]
(;W[kd]
(;B[ke]
(;W[le]
(;B[jf]
(;W[lf]
(;B[kf]
(;W[lg]
(;B[li]
(;W[kh]
(;B[lh]
(;W[jh]
(;B[ki]
(;W[jg]
(;B[ih]
(;W[if]
(;B[je]
(;W[ig]
(;B[jc]
(;W[jb]
(;B[kb]
(;W[lb]
(;B[ld]
(;W[lc]
(;B[mg]
(;W[md]
(;B[mh]
(;W[mf]
(;B[ie]
(;W[he]
(;B[ji]
(;W[ic]
(;B[hf]
(;W[hg]
(;B[ib]
(;W[ka]
(;B[dh]
(;W[ci]
(;B[ch]
(;W[bh]
(;B[di]
(;W[cj]
(;B[dj]
(;W[bk]
(;B[dk]
(;W[cl]
(;B[dl]
(;W[cm]
(;B[dm]
(;W[bl]
(;B[bg]
(;W[bf]
(;B[ii]
(;W[gk]
(;B[gl]
(;W[hk]
(;B[hl]
)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
352494,1336,2013,Uzziel,ProtoJazz,un,ca,"{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}","{'version': 5, 'overall': {'rating': 1238.5284230716807, 'deviation': 66.39045970868877, 'volatility': 0.059981465939883294}}",21.451613725129207,19.869203660715552,False,False,,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2012-10-19]
PC[OGS: https://online-go.com/game/352494]
GN[Challenge from Uzziel]
PB[Uzziel]
PW[ProtoJazz]
BR[30k]
WR[11k]
TM[259200]OT[86400 fischer]
RE[W+R]
SZ[13]
KM[6]
RU[Japanese]
;B[dj]
(;W[jd]
(;B[kk]
(;W[cd]
(;B[hj]
(;W[kh]
(;B[lh]
(;W[lg]
(;B[li]
(;W[ki]
(;B[lj]
(;W[jj]
(;B[jk]
(;W[hi]
(;B[ij]
(;W[ii]
(;B[kj]
(;W[ji]
(;B[fh]
(;W[fi]
(;B[gi]
(;W[gh]
(;B[gj]
(;W[fg]
(;B[eh]
(;W[eg]
(;B[gg]
(;W[hh]
(;B[hg]
(;W[ei]
(;B[dh]
(;W[ig]
(;B[if]
(;W[hf]
(;B[gf]
(;W[he]
(;B[jg]
(;W[kg]
(;B[kf]
(;W[ff]
(;B[ge]
(;W[ih]
(;B[gd]
(;W[ie]
(;B[jf]
(;W[lf]
(;B[le]
(;W[ke]
(;B[je]
(;W[jh]
(;B[jf]
(;W[ld]
))))))))))))))))))))))))))))))))))))))))))))))))))))"
355099,1336,46527,Uzziel,joelg99,un,un,"{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}","{'version': 5, 'overall': {'rating': 1343.1830420626047, 'deviation': 262.4033326087295, 'volatility': 0.05999920972304284}}",21.451613725129207,21.747091898185545,False,False,,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2012-10-19]
PC[OGS: https://online-go.com/game/355099]
GN[Let's play go!]
PB[Uzziel]
PW[joelg99]
BR[30k]
WR[30k]
TM[259200]OT[86400 fischer]
RE[B+T]
SZ[9]
KM[6.5]
RU[Japanese]
;B[fd]
(;W[fe]
(;B[ge]
(;W[ee]
(;B[ed]
(;W[fc]
(;B[gc]
(;W[ec]
(;B[gd]
)))))))))"
355136,1336,46534,Uzziel,kokonizzle,un,un,"{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}","{'version': 5, 'overall': {'rating': 1753.060311143152, 'deviation': 148.89265371257036, 'volatility': 0.059996287475265475}}",21.451613725129207,27.91241860812653,False,False,,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2012-10-19]
PC[OGS: https://online-go.com/game/355136]
GN[Let's play go!]
PB[Uzziel]
PW[kokonizzle]
BR[30k]
WR[27k]
TM[259200]OT[86400 fischer]
RE[W+R]
SZ[9]
KM[6.5]
RU[Japanese]
;B[df]
(;W[fd]
(;B[gg]
(;W[de]
(;B[cf]
(;W[ce]
(;B[ge]
(;W[gd]
(;B[fe]
(;W[ee]
(;B[ef]
(;W[bf]
(;B[hd]
(;W[hc]
(;B[gc]
(;W[he]
(;B[ed]
(;W[fc]
(;B[fb]
(;W[ec]
(;B[dc]
(;W[dd]
(;B[id]
(;W[ie]
(;B[gb]
(;W[eb]
(;B[hb]
(;W[ic]
(;B[ib]
(;W[fa]
(;B[ha]
(;W[bg]
(;B[da]
(;W[db]
(;B[cb]
(;W[cc]
(;B[ca]
(;W[bb]
(;B[id]
(;W[hd]
(;B[bc]
(;W[ba]
(;B[be]
(;W[bd]
(;B[ac]
(;W[ad]
))))))))))))))))))))))))))))))))))))))))))))))"
355139,1108,1336,rjcchan,Uzziel,un,un,"{'version': 5, 'overall': {'rating': 1014.474449879875, 'deviation': 67.9300434459753, 'volatility': 0.05996072784328585}}","{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}",15.249546519340203,21.451613725129207,False,False,,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2012-10-19]
PC[OGS: https://online-go.com/game/355139]
GN[Let's play go!]
PB[rjcchan]
PW[Uzziel]
BR[30k]
WR[30k]
TM[259200]OT[86400 fischer]
RE[B+R]
SZ[13]
KM[4.5]
RU[Japanese]
HA[2]
AB[dd][jj]
;W[dj]
(;B[jd]
(;W[cg]
(;B[gk]
(;W[fk]
(;B[fl]
(;W[el]
(;B[gl]
(;W[ek]
(;B[gj]
(;W[fj]
(;B[eh]
(;W[de]
(;B[ce]
(;W[gd]
(;B[bd]
(;W[cf]
(;B[df]
(;W[ee]
(;B[fe]
(;W[ff]
(;B[eg]
(;W[ef]
(;B[ed]
(;W[dg]
(;B[fd]
(;W[ge]
(;B[gf]
(;W[hf]
(;B[fc]
(;W[fh]
(;B[gg]
(;W[fg]
(;B[hh]
(;W[gh]
(;B[hi]
(;W[hg]
(;B[jg]
(;W[gi]
(;B[ij]
(;W[je]
(;B[ke]
(;W[jf]
(;B[kf]
(;W[ig]
(;B[ie]
(;W[if]
(;B[kh]
(;W[jh]
(;B[lg]
(;W[kg]
(;B[hd]
(;W[lh]
(;B[jg]
(;W[ki]
(;B[kg]
(;W[kd]
(;B[ji]
(;W[ih]
(;B[li]
(;W[kj]
(;B[jk]
(;W[mh]
(;B[lj]
(;W[kk]
(;B[mi]
(;W[le]
(;B[ld]
(;W[lc]
(;B[kc]
(;W[md]
(;B[kd]
(;W[me]
(;B[lb]
(;W[mb]
(;B[mc]
(;W[lk]
(;B[mg]
(;W[lc]
(;B[ka]
(;W[la]
(;B[mc]
(;W[di]
(;B[ma]
(;W[ei]
(;B[jl]
(;W[kl]
(;B[km]
(;W[lm]
(;B[jm]
(;W[mk]
(;B[ml]
))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
355140,1336,46534,Uzziel,kokonizzle,un,un,"{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}","{'version': 5, 'overall': {'rating': 1753.060311143152, 'deviation': 148.89265371257036, 'volatility': 0.059996287475265475}}",21.451613725129207,27.91241860812653,False,False,,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2012-10-19]
PC[OGS: https://online-go.com/game/355140]
GN[Let's play go!]
PB[Uzziel]
PW[kokonizzle]
BR[30k]
WR[27k]
TM[259200]OT[86400 fischer]
RE[W+R]
SZ[19]
KM[6.5]
RU[Japanese]
;B[do]
(;W[pd]
(;B[pp]
(;W[dd]
(;B[cj]
(;W[qn]
(;B[dg]
(;W[df]
(;B[hp]
(;W[rp]
(;B[mp]
(;W[jd]
(;B[qp]
(;W[rq]
(;B[cf]
(;W[ce]
(;B[cg]
(;W[pr]
(;B[qq]
(;W[qr]
(;B[ee]
(;W[ef]
(;B[ff]
(;W[fe]
(;B[fd]
(;W[ge]
(;B[eg]
(;W[de]
(;B[be]
(;W[bd]
(;B[ed]
(;W[bf]
(;B[cc]
(;W[dc]
(;B[bg]
(;W[ae]
(;B[ag]
(;W[af]
(;B[he]
(;W[gd]
(;B[gc]
(;W[fc]
(;B[ic]
(;W[gf]
(;B[fg]
(;W[gg]
(;B[cl]
(;W[pj]
(;B[on]
(;W[pm]
(;B[po]
(;W[qo]
(;B[ro]
(;W[rn]
(;B[kd]
(;W[jc]
(;B[je]
(;W[ke]
(;B[kc]
(;W[jb]
(;B[ib]
(;W[id]
(;B[hd]
(;W[ie]
(;B[hf]
(;W[if]
(;B[hg]
(;W[gh]
(;B[jf]
(;W[ig]
(;B[hh]
(;W[ih]
(;B[gi]
(;W[fh]
(;B[fi]
(;W[eh]
(;B[ei]
(;W[dh]
))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
355141,1336,46534,Uzziel,kokonizzle,un,un,"{'version': 5, 'overall': {'rating': 1326.1480878929506, 'deviation': 122.2406406372853, 'volatility': 0.06000276173213107}}","{'version': 5, 'overall': {'rating': 1753.060311143152, 'deviation': 148.89265371257036, 'volatility': 0.059996287475265475}}",21.451613725129207,27.91241860812653,False,False,,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2012-10-19]
PC[OGS: https://online-go.com/game/355141]
GN[Let's play go!]
PB[Uzziel]
PW[kokonizzle]
BR[30k]
WR[27k]
TM[259200]OT[86400 fischer]
RE[B+5.5]
SZ[9]
KM[6.5]
RU[Japanese]
;B[cg]
(;W[ee]
(;B[gf]
(;W[ge]
(;B[ef]
(;W[cf]
(;B[df]
(;W[de]
(;B[ce]
(;W[bf]
(;B[be]
(;W[bg]
(;B[dg]
(;W[cd]
(;B[bd]
(;W[ch]
(;B[dh]
(;W[ci]
(;B[cc]
(;W[ah]
(;B[fe]
(;W[fd]
(;B[ff]
(;W[ed]
(;B[dd]
(;W[dc]
(;B[gd]
(;W[he]
(;B[ec]
(;W[fc]
(;B[db]
(;W[gc]
(;B[hf]
(;W[hd]
(;B[di]
(;W[eb]
(;B[dc]
(;W[fb]
(;B[ea]
(;W[fa]
(;B[if]
(;W[ie]
(;B[ae]
(;W[af]
(;B[da]
(;W[]
(;B[]
C[Uzziel: Thanks for the game.
]
)))))))))))))))))))))))))))))))))))))))))))))))"
