game_id,black_id,white_id,black_username,white_username,black_country,white_country,black_ratings,white_ratings,black_ranking,white_ranking,black_professional,white_professional,black_ui_class,white_ui_class,board
7990209,1185,58441,cstevens,GnuGo,us,un,"{'version': 5, 'overall': {'rating': 1109.6408352195012, 'deviation': 202.3716884447569, 'volatility': 0.06000267715950777}}","{'version': 5, 'overall': {'rating': 1041.1430622465718, 'deviation': 95.91959952172724, 'volatility': 0.1498876897347942}}",17.325307383156414,15.850254592347436,False,False,provisional,bot,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2017-03-07]
PC[OGS: https://online-go.com/game/7990209]
GN[Friendly Match]
PB[cstevens]
PW[GnuGo]
BR[?]
WR[4k]
TM[259200]OT[86400 fischer]
RE[W+R]
SZ[19]
KM[7.5]
RU[Chinese]
;B[pd]
(;W[ec]
(;B[pp]
(;W[ep]
(;B[qj]
(;W[id]
(;B[jc]
(;W[ke]
(;B[jd]
(;W[je]
(;B[le]
(;W[gd]
(;B[dp]
(;W[eq]
(;B[er]
(;W[dq]
(;B[cq]
(;W[dr]
(;B[dl]
(;W[cp]
(;B[do]
(;W[bp]
(;B[dd]
(;W[dc]
(;B[kq]
(;W[kd]
(;B[kc]
(;W[ld]
(;B[md]
(;W[lc]
(;B[mc]
(;W[lb]
(;B[mb]
(;W[cd]
(;B[de]
(;W[li]
(;B[kg]
(;W[ni]
(;B[ph]
(;W[pn]
(;B[qo]
(;W[ce]
(;B[df]
(;W[bg]
(;B[ch]
(;W[qn]
(;B[qm]
(;W[rn]
(;B[ro]
(;W[nn]
(;B[kn]
(;W[mo]
(;B[np]
(;W[nk]
(;B[mm]
(;W[nm]
(;B[ki]
(;W[mf]
(;B[me]
(;W[og]
(;B[ng]
(;W[mg]
(;B[nh]
(;W[nf]
(;B[oh]
(;W[mh]
(;B[oj]
(;W[ml]
(;B[mj]
(;W[nj]
(;B[mi]
(;W[lj]
(;B[]
(;W[fn]
(;B[]
(;W[fq]
))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
12285645,125598,1185,hat74,cstevens,zz,us,"{'version': 5, 'overall': {'rating': 1199.0255810206354, 'deviation': 61.77055476699081, 'volatility': 0.05994877225153197}}","{'version': 5, 'overall': {'rating': 1109.6408352195012, 'deviation': 202.3716884447569, 'volatility': 0.06000267715950777}}",19.118803166738576,17.325307383156414,False,False,,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2018-04-01]
PC[OGS: https://online-go.com/game/12285645]
GN[hat74 vs. cstevens]
PB[hat74]
PW[cstevens]
BR[14k]
WR[?]
TM[1200]OT[5x30 byo-yomi]
RE[B+R]
SZ[19]
KM[6.5]
RU[Japanese]
;B[dd]
(;W[pp]
(;B[pd]
(;W[cp]
(;B[dj]
(;W[qj]
(;B[ph]
(;W[lq]
(;B[jd]
(;W[cl]
(;B[cj]
(;W[qg]
(;B[qh]
(;W[rh]
(;B[pf]
(;W[pg]
(;B[og]
(;W[rg]
(;B[oi]
(;W[qi]
(;B[pj]
(;W[rk]
(;B[pk]
(;W[pl]
(;B[qk]
(;W[ql]
(;B[re]
(;W[rm]
(;B[ol]
(;W[hc]
(;B[hd]
(;W[ec]
(;B[ed]
(;W[dc]
(;B[fc]
(;W[fb]
(;B[gc]
(;W[gb]
(;B[hb]
(;W[ic]
(;B[ib]
(;W[gd]
(;B[fd]
(;W[ge]
(;B[he]
(;W[hf]
(;B[jc]
C[cstevens: Damnit :)
]
(;W[ff]
(;B[gg]
(;W[cd]
(;B[ce]
(;W[de]
(;B[cc]
(;W[bd]
(;B[eb]
(;W[db]
(;B[cb]
(;W[ea]
(;B[ca]
(;W[id]
(;B[ie]
(;W[df]
(;B[da]
(;W[ga]
(;B[eb]
(;W[em]
(;B[be]
(;W[ek]
(;B[ej]
(;W[nh]
(;B[om]
(;W[on]
(;B[pm]
(;W[qm]
(;B[pn]
(;W[qn]
(;B[po]
(;W[oo]
(;B[qo]
(;W[ro]
(;B[ef]
(;W[gq]
(;B[dg]
(;W[cf]
(;B[ad]
(;W[bc]
(;B[bb]
(;W[ac]
(;B[ab]
(;W[ok]
(;B[nn]
(;W[qq]
(;B[no]
(;W[nm]
(;B[op]
(;W[nq]
(;B[oq]
(;W[or]
(;B[qp]
(;W[pq]
(;B[rp]
(;W[np]
(;B[oo]
(;W[so]
(;B[sp]
(;W[sq]
(;B[rq]
(;W[sr]
(;B[rr]
(;W[qr]
(;B[ss]
(;W[rs]
(;B[qs]
C[cstevens: It's looking pretty bad...I'm going to resign but thank you very much for the game!
hat74: gg thnx
]
)))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
415337,1185,1198,cstevens,Code Red,us,us,"{'version': 5, 'overall': {'rating': 1109.6408352195012, 'deviation': 202.3716884447569, 'volatility': 0.06000267715950777}}","{'version': 5, 'overall': {'rating': 1129.6076371851884, 'deviation': 67.62621129302899, 'volatility': 0.05998333720091135}}",17.325307383156414,17.738163501803946,False,False,provisional,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-10-19]
PC[OGS: https://online-go.com/game/415337]
GN[Saturday Leisure]
PB[cstevens]
PW[Mahiraku]
BR[30k]
WR[21k]
TM[1200]OT[5x30 byo-yomi]
RE[Void]
SZ[19]
KM[6.5]
RU[Japanese]
C[Mahiraku: Good luck have fun
cstevens: Do over?
Mahiraku: Sure
cstevens: okay, doing...
Mahiraku: k
]
)"
415339,1185,1198,cstevens,Code Red,us,us,"{'version': 5, 'overall': {'rating': 1109.6408352195012, 'deviation': 202.3716884447569, 'volatility': 0.06000267715950777}}","{'version': 5, 'overall': {'rating': 1129.6076371851884, 'deviation': 67.62621129302899, 'volatility': 0.05998333720091135}}",17.325307383156414,17.738163501803946,False,False,provisional,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-10-19]
PC[OGS: https://online-go.com/game/415339]
GN[Saturday Leisure]
PB[cstevens]
PW[Mahiraku]
BR[30k]
WR[21k]
TM[1200]OT[5x30 byo-yomi]
RE[W+R]
SZ[19]
KM[6.5]
RU[Japanese]
C[Mahiraku: good luck have fun
cstevens: You to!
]
;B[pd]
(;W[dp]
(;B[dd]
(;W[pp]
(;B[en]
(;W[cn]
(;B[cj]
(;W[cl]
(;B[dk]
(;W[gp]
(;B[cg]
(;W[bk]
(;B[bj]
(;W[ak]
(;B[nq]
(;W[pr]
(;B[po]
(;W[qo]
(;B[pn]
(;W[qn]
(;B[qm]
(;W[rm]
(;B[pm]
(;W[sn]
(;B[qp]
(;W[rp]
(;B[qq]
(;W[pq]
(;B[hp]
(;W[hq]
(;B[iq]
(;W[hr]
(;B[fp]
(;W[fq]
(;B[go]
(;W[gq]
(;B[ep]
(;W[eq]
(;B[co]
(;W[do]
(;B[dn]
(;W[bo]
(;B[cp]
(;W[cq]
(;B[bn]
(;W[cm]
(;B[bp]
(;W[bq]
(;B[ao]
(;W[bm]
(;B[aq]
(;W[br]
(;B[an]
(;W[dm]
(;B[em]
(;W[el]
(;B[dl]
(;W[ek]
(;B[ej]
(;W[dj]
(;B[di]
(;W[ck]
(;B[jc]
(;W[dj]
(;B[dk]
(;W[dl]
(;B[al]
(;W[fk]
(;B[qj]
(;W[rk]
(;B[rj]
(;W[rl]
(;B[ro]
(;W[rq]
(;B[rn]
(;W[qr]
(;B[op]
(;W[qo]
(;B[rr]
(;W[so]
(;B[qn]
(;W[qp]
(;B[sl]
(;W[sm]
(;B[sk]
(;W[sp]
(;B[sj]
(;W[qs]
(;B[gk]
(;W[fj]
(;B[fi]
(;W[dj]
(;B[aj]
(;W[ei]
(;B[eh]
(;W[ej]
(;B[gj]
(;W[gl]
(;B[ql]
(;W[fn]
(;B[fm]
(;W[gn]
(;B[dr]
(;W[fo]
(;B[ho]
(;W[gm]
(;B[qk]
(;W[eo]
(;B[sq]
(;W[sr]
(;B[lq]
(;W[jr]
(;B[ir]
(;W[is]
(;B[jp]
(;W[jq]
(;B[ip]
(;W[kp]
(;B[js]
(;W[ks]
(;B[kq]
(;W[kr]
(;B[lr]
(;W[hs]
(;B[gs]
(;W[js]
(;B[qh]
(;W[ar]
(;B[ap]
(;W[am]
(;B[lm]
(;W[hk]
(;B[hl]
(;W[fl]
(;B[im]
(;W[hj]
(;B[gi]
(;W[hi]
(;B[hh]
(;W[ih]
(;B[gg]
(;W[ig]
(;B[jg]
(;W[jh]
(;B[fg]
(;W[if]
(;B[ie]
(;W[hg]
(;B[jf]
(;W[gh]
(;B[lh]
(;W[fh]
(;B[eg]
(;W[dh]
(;B[dg]
(;W[ci]
(;B[ch]
(;W[di]
(;B[bi]
(;W[bh]
(;B[bg]
(;W[ai]
(;B[ah]
(;W[bi]
(;B[ag]
(;W[gf]
(;B[he]
(;W[ge]
(;B[gd]
(;W[ff]
(;B[ee]
(;W[ef]
(;B[df]
(;W[fd]
(;B[fe]
(;W[hf]
(;B[kh]
(;W[je]
(;B[ke]
(;W[jd]
(;B[kd]
(;W[id]
(;B[hc]
(;W[hd]
(;B[gc]
(;W[fc]
(;B[ic]
(;W[fb]
(;B[eb]
(;W[dc]
(;B[cb]
(;W[cc]
(;B[cd]
(;W[bc]
(;B[bd]
(;W[ed]
(;B[ce]
(;W[de]
(;B[bf]
(;W[ee]
(;B[ec]
(;W[db]
(;B[da]
(;W[ea]
(;B[ba]
(;W[ca]
(;B[ad]
(;W[bb]
(;B[kc]
(;W[ac]
(;B[kf]
(;W[ki]
(;B[nh]
(;W[li]
(;B[lk]
(;W[ko]
(;B[jo]
(;W[jn]
(;B[in]
(;W[jm]
(;B[il]
(;W[jl]
(;B[kn]
(;W[ln]
(;B[km]
(;W[mn]
(;B[lo]
(;W[mm]
(;B[lp]
(;W[ll]
(;B[io]
(;W[kl]
(;B[ko]
(;W[mp]
(;B[no]
(;W[mo]
(;B[ml]
(;W[mq]
(;B[nm]
(;W[mr]
(;B[nn]
(;W[ms]
(;B[nl]
(;W[ls]
C[Mahiraku: Good game
Mahiraku: review?
cstevens: You too. It felt like you were ""running"" but I see as the game went on that you were actually circling around.
]
))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
3207584,183565,1185,เพญศรรวนมอม,cstevens,un,us,"{'version': 5, 'overall': {'rating': 1110.6512292616192, 'deviation': 64.46864321810999, 'volatility': 0.06034779109636257}}","{'version': 5, 'overall': {'rating': 1109.6408352195012, 'deviation': 202.3716884447569, 'volatility': 0.06000267715950777}}",17.34637724514789,17.325307383156414,False,False,,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2015-11-08]
PC[OGS: https://online-go.com/game/3207584]
GN[Timmim]
PB[เพญศรรวนมอม]
PW[cstevens]
BR[15k]
WR[?]
TM[360]OT[2x30 byo-yomi]
RE[W+T]
SZ[19]
KM[6.5]
RU[Japanese]
C[cstevens: Have fun!
]
;B[pp]
C[cstevens: Have fun!
]
(;W[dd]
C[เพญศรรวนมอม: yes
]
(;B[dp]
(;W[qc]
(;B[ec]
(;W[hc]
(;B[ed]
(;W[dc]
(;B[de]
(;W[ee]
(;B[fe]
(;W[ef]
(;B[df]
(;W[qn]
(;B[ff]
(;W[eg]
(;B[ro]
(;W[on]
(;B[no]
(;W[op]
(;B[oq]
(;W[dg]
(;B[cd]
(;W[ce]
(;B[cf]
(;W[be]
(;B[bd]
(;W[qk]
(;B[bf]
(;W[eb]
(;B[cc]
(;W[db]
(;B[fb]
(;W[fc]
(;B[fd]
C[cstevens: oops
]
(;W[oo]
(;B[np]
(;W[pq]
(;B[qq]
(;W[pr]
(;B[or]
(;W[os]
(;B[nq]
(;W[mn]
(;B[qr]
(;W[qs]
(;B[ps]
(;W[pr]
(;B[ns]
(;W[mr]
(;B[rs]
(;W[mq]
(;B[mp]
(;W[lp]
(;B[nn]
(;W[nm]
(;B[po]
(;W[pn]
(;B[qo]
(;W[rn]
(;B[sn]
(;W[sm]
(;B[so]
(;W[rm]
(;B[ps]
(;W[jp]
(;B[lo]
(;W[mo]
(;B[kp]
(;W[lq]
(;B[ln]
(;W[lm]
(;B[mm]
(;W[ml]
(;B[mn]
(;W[eq]
(;B[kq]
(;W[kr]
(;B[jr]
(;W[ls]
(;B[ms]
(;W[ko]
(;B[jq]
(;W[js]
(;B[is]
(;W[hr]
(;B[ks]
(;W[ir]
(;B[lr]
(;W[hs]
(;B[js]
(;W[gs]
(;B[iq]
(;W[hp]
(;B[hq]
(;W[gr]
(;B[gq]
(;W[fp]
(;B[fq]
(;W[er]
))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))))"
