game_id,black_id,white_id,black_username,white_username,black_country,white_country,black_ratings,white_ratings,black_ranking,white_ranking,black_professional,white_professional,black_ui_class,white_ui_class,board
713,424,428,cale.haskell,0xbdf,us,us,"{'version': 5, 'overall': {'rating': 1229.3545061826308, 'deviation': 248.30347747776162, 'volatility': 0.05999913005430535}}","{'version': 5, 'overall': {'rating': 1500.0, 'deviation': 350.0, 'volatility': 0.06}}",19.697090833391986,24.303382182144386,False,False,provisional,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-03-26]
PC[OGS: https://online-go.com/game/713]
GN[Maybe a 9x9 is better]
PB[cale.haskell]
PW[0xbdf]
BR[30k]
WR[10k]
TM[86400]OT[1/86400 canadian]
RE[W+T]
SZ[9]
KM[0.5]
RU[Japanese]
HA[5]
AB[cg][][gc][][gg]
;W[]
(;B[cc]
(;W[]
C[0xbdf: Can I leave messages on the board?
0xbdf: Testing, testing
]
(;B[ee]
(;W[ge]
(;B[fe]
C[cale.haskell: It seems you can!
0xbdf: Excellent!
]
(;W[fc]
(;B[fd]
(;W[dd]
C[0xbdf: Sorry, ,could have SWORN I submitted that move. Took me a while to check back though..
]
(;B[ec]
(;W[cf]
(;B[ce]
(;W[cd]
(;B[bd]
(;W[be]
C[0xbdf: So... How did you get into Go?
]
(;B[de]
(;W[bc]
(;B[ad]
(;W[ac]
(;B[dc]
(;W[ae]
(;B[cb]
(;W[dg]
(;B[df]
(;W[bf]
(;B[bg]
(;W[dh]
(;B[eh]
(;W[eg]
C[0xbdf: I was raised on chess by my dad. And while I think he always preferred Go, it was easier in american culture to have, for example, a Go club in elementary school which he ran.
0xbdf: He taught me Go though, though more briefly than Chess. I found it again though when I started at DigiPen.
0xbdf: BSGD, btw. You?
]
(;B[ff]
(;W[gh]
(;B[fg]
C[cale.haskell: My Go story is much less interesting! I saw a thread on the something awful forums about Go - it linked to this tutorial: http://playgo.to/iwtg/en/ and I got a little bit hooked.
cale.haskell: That's cool though!
cale.haskell: I was a BSRTIS - currently a UI engineer at Bungie!
]
(;W[fh]
(;B[hh]
(;W[hf]
(;B[hd]
(;W[hg]
C[0xbdf: Seems like a good tutorial!
]
(;B[ei]
(;W[di]
(;B[hi]
(;W[he]
(;B[id]
(;W[bb]
(;B[ba]
(;W[bh]
(;B[gd]
(;W[ih]
C[0xbdf: Do you know the site www.eidogo.com? It's always been a very good resource for me. It has a Joseki tutor, a database of professional games, lets you upload a .sgf to analyze, and a couple of other neat tricks.
]
(;B[ag]
(;W[ch]
(;B[ah]
(;W[bd]
(;B[if]
(;W[ie]
)))))))))))))))))))))))))))))))))))))))))))))))))))))"
712,134,428,Unno,0xbdf,ru,us,"{'version': 5, 'overall': {'rating': 2007.156967293527, 'deviation': 65.05856492175081, 'volatility': 0.06018044728889678}}","{'version': 5, 'overall': {'rating': 1500.0, 'deviation': 350.0, 'volatility': 0.06}}",31.04591618430543,24.303382182144386,False,False,,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-03-25]
PC[OGS: https://online-go.com/game/712]
GN[]
PB[SOCRAT]
PW[0xbdf]
BR[10k]
WR[10k]
TM[60]OT[1/60 canadian]
RE[B+T]
SZ[19]
KM[6.5]
RU[Japanese]
;B[]
)"
869,501,428,Jitae,0xbdf,un,us,"{'version': 5, 'overall': {'rating': 1349.1658997201284, 'deviation': 272.7931206051388, 'volatility': 0.05999931053094557}}","{'version': 5, 'overall': {'rating': 1500.0, 'deviation': 350.0, 'volatility': 0.06}}",21.849978549021156,24.303382182144386,False,False,provisional,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-03-30]
PC[OGS: https://online-go.com/game/869]
GN[]
PB[Jitae]
PW[0xbdf]
BR[12k]
WR[10k]
TM[604800]OT[1/604800 canadian]
RE[W+T]
SZ[19]
KM[0.5]
RU[Japanese]
HA[2]
AB[pd][dp]
;W[pp]
(;B[dd]
(;W[qf]
(;B[nc]
(;W[rd]
(;B[qc]
(;W[qi]
)))))))"
875,530,428,oxandria,0xbdf,un,us,"{'version': 5, 'overall': {'rating': 1500.0, 'deviation': 350.0, 'volatility': 0.06}}","{'version': 5, 'overall': {'rating': 1500.0, 'deviation': 350.0, 'volatility': 0.06}}",24.303382182144386,24.303382182144386,False,False,provisional,provisional,
891,428,486,0xbdf,Helsbecter,us,ao,"{'version': 5, 'overall': {'rating': 1500.0, 'deviation': 350.0, 'volatility': 0.06}}","{'version': 5, 'overall': {'rating': 1888.7858763222725, 'deviation': 61.49358737968924, 'volatility': 0.05999827256161442}}",24.303382182144386,29.638742334683567,False,False,provisional,,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-04-02]
PC[OGS: https://online-go.com/game/891]
GN[Want to try one of these.]
PB[0xbdf]
PW[Helsbecter]
BR[10k]
WR[1d]
TM[86400]OT[1/86400 canadian]
RE[Void]
SZ[19:9]
KM[0.5]
RU[Japanese]
HA[9]
)"
970,94,428,prozz,0xbdf,150,us,"{'version': 5, 'overall': {'rating': 1693.71341001999, 'deviation': 64.83753698676142, 'volatility': 0.06010018315302806}}","{'version': 5, 'overall': {'rating': 1500.0, 'deviation': 350.0, 'volatility': 0.06}}",27.11514169667412,24.303382182144386,False,False,,provisional,"(;FF[4]
CA[UTF-8]
GM[1]
DT[2013-04-10]
PC[OGS: https://online-go.com/game/970]
GN[play with me!]
PB[prozz]
PW[0xbdf]
BR[10k]
WR[10k]
TM[172800]OT[1/172800 canadian]
RE[B+T]
SZ[19]
KM[6.5]
RU[Japanese]
C[0xbdf: Hello hello!
prozz: hi, have fun!
]
;B[pd]
(;W[dp]
C[0xbdf: You too!
]
(;B[pp]
(;W[dc]
(;B[pj]
(;W[ci]
(;B[fq]
(;W[hq]
(;B[jp]
(;W[gp]
(;B[ho]
(;W[go]
(;B[hn]
(;W[nc]
(;B[oe]
(;W[qc]
(;B[qd]
(;W[pc]
(;B[md]
(;W[mc]
(;B[ld]
(;W[qn]
(;B[qo]
(;W[pn]
(;B[np]
(;W[ql]
(;B[qj]
(;W[nn]
(;B[ol]
(;W[mp]
(;B[mq]
(;W[nq]
(;B[lq]
(;W[op]
(;B[no]
(;W[oo]
(;B[mo]
(;W[pq]
(;B[qq]
(;W[pr]
(;B[ml]
(;W[jd]
(;B[lc]
(;W[de]
(;B[cq]
(;W[cp]
(;B[dq]
(;W[ep]
(;B[bp]
(;W[eq]
(;B[er]
(;W[bo]
(;B[bq]
(;W[cn]
(;B[je]
)))))))))))))))))))))))))))))))))))))))))))))))))))))))"
